ecosystem,file,name,constraint,before,stable,declared,after,note
"cargo","rust/alera-cli/Cargo.toml","hex","0.4","0.4.3","0.4.3","0.4.3","0.4.3",""
"cargo","rust/alera-cli/Cargo.toml","reqwest","0.13","0.13.4","0.13.4","0.13.4","0.13.4",""
"cargo","rust/alera-cli/Cargo.toml","sha2","0.10","0.10.9;0.11.0","0.11.0","0.11.0","0.10.9;0.11.0",""
"cargo","rust/alera-cli/Cargo.toml","hmac","0.12","0.12.1;0.13.0","0.13.0","0.13.0","0.12.1;0.13.0",""
"cargo","rust/alera-cli/Cargo.toml","hkdf","0.12","0.12.4;0.13.0","0.13.0","0.13.0","0.12.4;0.13.0",""
"cargo","rust/alera-cli/Cargo.toml","chacha20poly1305","0.10","0.10.1","0.11.0","0.11.0","0.11.0",""
"cargo","rust/alera-cli/Cargo.toml","x25519-dalek","2","2.0.1","3.0.0","3.0.0","3.0.0",""
"cargo","rust/alera-cli/Cargo.toml","rand_core","0.6","0.6.4;0.9.5;0.10.1","0.10.1","","0.6.4;0.9.5;0.10.1","Replaced direct dependency with rand 0.10.2 OS CSPRNG"
"cargo","rust/alera-cli/Cargo.toml","zeroize","1","1.9.0","1.9.0","1.9.0","1.9.0",""
"cargo","rust/alera-cli/Cargo.toml","png","0.18","0.18.1","0.18.1","0.18.1","0.18.1",""
"cargo","rust/alera-cli/Cargo.toml","jsonschema","0.49","0.49.2","0.52.1","0.52.1","0.52.1",""
"cargo","rust/alera-cli/Cargo.toml","tokio-tungstenite","0.30","0.30.0","0.30.0","0.30.0","0.30.0",""
"cargo","rust/alera-cli/Cargo.toml","toml","1.1","1.1.4+spec-1.1.0","1.1.4+spec-1.1.0","1.1.4","1.1.4+spec-1.1.0",""
"cargo","rust/alera-cli/Cargo.toml","url","2.5","2.5.8","2.5.8","2.5.8","2.5.8",""
"cargo","rust/alera-cli/Cargo.toml","dirs","6","6.0.0","6.0.0","6.0.0","6.0.0",""
"cargo","rust/alera-cli/Cargo.toml","dunce","1","1.0.5","1.0.5","1.0.5","1.0.5",""
"cargo","rust/alera-cli/Cargo.toml","regex","1","1.13.1","1.13.1","1.13.1","1.13.1",""
"cargo","rust/alera-cli/Cargo.toml","git2","0.21","0.21.0","0.21.0","0.21.0","0.21.0",""
"cargo","rust/alera-cli/Cargo.toml","ignore","0.4","0.4.31","0.4.33","0.4.33","0.4.33",""
"cargo","rust/alera-cli/Cargo.toml","notify","8","8.2.0","8.2.0","8.2.0","8.2.0",""
"cargo","rust/alera-cli/Cargo.toml","axum","0.8","0.8.9","0.8.9","0.8.9","0.8.9",""
"cargo","rust/alera-cli/Cargo.toml","bytes","1","1.12.1","1.12.1","1.12.1","1.12.1",""
"cargo","rust/alera-cli/Cargo.toml","if-addrs","0.13","0.13.4","0.15.0","0.15.0","0.15.0",""
"cargo","rust/alera-cli/Cargo.toml","hound","3.5","3.5.1","3.5.1","3.5.1","3.5.1",""
